ВРЕМЯ,СУММА,КАТЕГОРИЯ
2017-10-20 16:36:00,-222.0,Подарки
2017-10-20 17:31:00,-1645.0,Еда
2017-10-21 12:59:00,-2736.0,Комплектующие
2017-10-21 16:09:00,-200.0,Еда
2017-10-21 16:09:00,-250.0,Еда
2017-10-22 14:38:00,-969.0,Еда
2017-10-22 20:22:00,-290.0,Транспорт
2017-10-22 20:22:00,-2700.0,Спорт
2017-10-23 00:58:00,-216.0,Транспорт
2017-10-23 12:38:00,2880.0,Доходы
2017-10-23 13:51:00,-341.0,Комплектующие
2017-10-23 17:09:00,-1204.0,Еда
2017-10-23 17:17:00,-100.0,Еда
2017-10-24 21:34:00,-1500.0,Подарки
2017-10-25 19:48:00,-1500.0,Дом
2017-10-26 10:46:00,-400.0,Спорт
2017-10-26 18:58:00,-284.0,Еда
2017-10-26 20:02:00,-5500.0,Одежда и обувь
2017-10-26 21:50:00,-700.0,Еда
2017-10-27 02:24:00,11573.0,Доходы
2017-10-27 10:44:00,15000.0,Доходы
2017-10-27 16:40:00,-850.0,Еда
2017-10-29 19:43:00,-286.0,Транспорт
2017-10-30 00:53:00,-2700.0,Спорт
2017-10-30 00:53:00,-270.0,Транспорт
2017-10-31 17:00:00,-166.0,Здоровье
2017-10-31 17:00:00,-899.0,Еда
2017-11-01 17:49:00,-390.0,Еда
2017-11-02 17:27:00,-420.0,Еда
2017-11-03 14:23:00,103173.0,Доходы
2017-11-03 14:42:00,-220.0,Еда
2017-11-03 19:22:00,2638.0,Доходы
2017-11-03 20:56:00,-1890.0,Еда
2017-11-04 13:12:00,-2700.0,Спорт
2017-11-04 13:12:00,-25000.0,Подарки
2017-11-04 17:38:00,-1827.0,Еда
2017-11-05 16:14:00,-1190.0,Еда
2017-11-05 16:14:00,-861.0,Еда
2017-11-06 20:06:00,-272.0,Транспорт
2017-11-06 23:37:00,-224.0,Транспорт
2017-11-06 23:37:00,-2700.0,Спорт
2017-11-07 14:52:00,-1500.0,Подарки
2017-11-07 15:48:00,-250.0,Еда
2017-11-08 17:23:00,-759.0,Еда
2017-11-08 17:54:00,-2900.0,Еда
2017-11-09 12:36:00,-453.0,Здоровье
2017-11-09 22:07:00,72000.0,Доходы
2017-11-09 22:07:00,13000.0,Доходы
2017-11-10 00:17:00,1443.0,Доходы
2017-11-10 11:24:00,-25000.0,Дом
2017-11-10 12:38:00,12500.0,Доходы
2017-11-10 19:51:00,-295.0,Еда
2017-11-11 12:31:00,-22757.0,Комплектующие
2017-11-11 12:31:00,19000.0,Доходы
2017-11-11 13:38:00,-680.0,Дом
2017-11-11 15:16:00,-10000.0,Подарки
2017-11-11 15:16:00,-830.0,Красота и здоровье
2017-11-11 18:20:00,-1000.0,Компьютер и программы
2017-11-11 21:13:00,-200.0,Компьютер и программы
2017-11-11 22:33:00,-300.0,Подарки
2017-11-11 22:53:00,-307.0,Комплектующие
2017-11-13 20:53:00,-1433.0,Здоровье
2017-11-13 20:53:00,-4900.0,Украшения
2017-11-14 21:01:00,-1332.0,Еда
2017-11-14 21:01:00,-398.0,Еда
2017-11-16 14:28:00,-11040.0,Путешествия
2017-11-16 16:26:00,-315.0,Еда
2017-11-17 00:51:00,558.0,Доходы
2017-11-17 00:51:00,1035.0,Доходы
2017-11-17 00:51:00,974.0,Доходы
2017-11-17 14:28:00,-180.0,Еда
2017-11-18 00:51:00,-7800.0,Развлечения
2017-11-18 16:55:00,-33000.0,Путешествия
2017-11-19 14:38:00,-1672.0,Еда
2017-11-20 13:36:00,-13528.0,Компьютер и программы
2017-11-20 13:36:00,-2535.0,Подарки
2017-11-22 20:42:00,2960.0,Доходы
2017-11-23 11:51:00,32000.0,Доходы
2017-11-23 12:51:00,-720.0,Компьютер и программы
2017-11-23 18:40:00,15000.0,Доходы
2017-11-23 20:23:00,11573.0,Доходы
2017-11-23 21:06:00,-653.0,Еда
